"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"LSM5"	0	0.888042973951535	0.809	0.349	0	"Cycling B"	"LSM5"
"DLGAP5"	0	0.883292592140874	0.382	0.013	0	"Cycling B"	"DLGAP5"
"SNRPB"	0	0.881891912693268	0.907	0.568	0	"Cycling B"	"SNRPB"
"BUB3"	0	0.86801898751972	0.732	0.331	0	"Cycling B"	"BUB3"
"NUCKS1"	0	0.862529808389208	0.832	0.424	0	"Cycling B"	"NUCKS1"
"RPL39L"	0	0.861345216142439	0.573	0.1	0	"Cycling B"	"RPL39L"
"COX8A"	0	0.85568795201145	0.936	0.665	0	"Cycling B"	"COX8A"
"C19orf48"	0	0.853997266252418	0.648	0.185	0	"Cycling B"	"C19orf48"
"CDT1"	0	0.848269465455422	0.463	0.05	0	"Cycling B"	"CDT1"
"HNRNPAB"	0	0.840555666690576	0.577	0.171	0	"Cycling B"	"HNRNPAB"
"SNRPD1"	0	0.840438902640342	0.879	0.527	0	"Cycling B"	"SNRPD1"
"NCAPG"	0	0.839971695163946	0.448	0.023	0	"Cycling B"	"NCAPG"
"SLBP"	0	0.838301238012358	0.768	0.427	0	"Cycling B"	"SLBP"
"RAD21"	0	0.836922227709982	0.777	0.39	0	"Cycling B"	"RAD21"
"SPC25"	0	0.824719340802697	0.411	0.004	0	"Cycling B"	"SPC25"
"TXN"	0	0.822241960740009	0.519	0.149	0	"Cycling B"	"TXN"
"MRPL51"	0	0.81131332230352	0.884	0.538	0	"Cycling B"	"MRPL51"
"LIG1"	0	0.810096555444707	0.512	0.074	0	"Cycling B"	"LIG1"
"CENPK"	0	0.804449860948751	0.476	0.036	0	"Cycling B"	"CENPK"
"HIST1H3C"	0	0.797388831369295	0.247	0.008	0	"Cycling B"	"HIST1H3C"
"ANAPC11"	0	0.796284538867593	0.855	0.469	0	"Cycling B"	"ANAPC11"
"CCDC167"	0	0.796131176932476	0.709	0.256	0	"Cycling B"	"CCDC167"
"PA2G4"	0	0.793284439610409	0.719	0.313	0	"Cycling B"	"PA2G4"
"HIST1H2AH"	0	0.786351720284783	0.268	0.006	0	"Cycling B"	"HIST1H2AH"
"NCAPH"	0	0.780077586033287	0.429	0.015	0	"Cycling B"	"NCAPH"
"HIST1H2AM"	0	0.772378597453743	0.341	0.039	0	"Cycling B"	"HIST1H2AM"
"PRDX2"	0	0.770844330868524	0.625	0.255	0	"Cycling B"	"PRDX2"
"LSM4"	0	0.76495594579357	0.755	0.347	0	"Cycling B"	"LSM4"
"MCM5"	0	0.760099234909729	0.676	0.308	0	"Cycling B"	"MCM5"
"GAPDH"	0	0.756438410044025	1	0.993	0	"Cycling B"	"GAPDH"
"HMGA1"	0	0.753146950698595	0.94	0.742	0	"Cycling B"	"HMGA1"
"SGO2"	0	0.752497843375516	0.355	0.021	0	"Cycling B"	"SGO2"
"CALM3"	0	0.751954403546003	0.851	0.474	0	"Cycling B"	"CALM3"
"MCM2"	0	0.74982412575566	0.474	0.068	0	"Cycling B"	"MCM2"
"PGAM1"	0	0.747958553620769	0.838	0.521	0	"Cycling B"	"PGAM1"
"HIST1H2AG"	0	0.745278542330626	0.261	0.016	0	"Cycling B"	"HIST1H2AG"
"YEATS4"	0	0.743143084208392	0.493	0.075	0	"Cycling B"	"YEATS4"
"NDC80"	0	0.741606244149295	0.379	0.013	0	"Cycling B"	"NDC80"
"HNRNPA2B1"	0	0.735096516550543	0.983	0.881	0	"Cycling B"	"HNRNPA2B1"
"LSM3"	0	0.732530545542636	0.799	0.387	0	"Cycling B"	"LSM3"
"SMC1A"	0	0.732444417240151	0.594	0.183	0	"Cycling B"	"SMC1A"
"DDX39A"	0	0.731245093783194	0.812	0.431	0	"Cycling B"	"DDX39A"
"CDCA5"	0	0.73073348607031	0.404	0.008	0	"Cycling B"	"CDCA5"
"FANCI"	0	0.7300555306813	0.433	0.03	0	"Cycling B"	"FANCI"
"YBX1"	0	0.72819081194588	0.934	0.732	0	"Cycling B"	"YBX1"
"SKA2"	0	0.726768216648653	0.604	0.168	0	"Cycling B"	"SKA2"
"BCL2L12"	0	0.72619795805888	0.589	0.145	0	"Cycling B"	"BCL2L12"
"RFC4"	0	0.723409179775814	0.447	0.057	0	"Cycling B"	"RFC4"
"HSPB11"	0	0.722952541247831	0.667	0.244	0	"Cycling B"	"HSPB11"
"PPIA"	0	0.71977383384953	0.997	0.968	0	"Cycling B"	"PPIA"
"BUB1"	0	0.717054333573876	0.378	0.034	0	"Cycling B"	"BUB1"
"SAE1"	0	0.71659964391246	0.563	0.146	0	"Cycling B"	"SAE1"
"NCAPD2"	0	0.708912214487742	0.494	0.103	0	"Cycling B"	"NCAPD2"
"BRCA1"	0	0.70812368335694	0.4	0.026	0	"Cycling B"	"BRCA1"
"AKR1B1"	0	0.705953840186153	0.555	0.136	0	"Cycling B"	"AKR1B1"
"C12orf75"	0	0.700377947779316	0.699	0.31	0	"Cycling B"	"C12orf75"
"NUDT1"	0	0.695268043358622	0.647	0.2	0	"Cycling B"	"NUDT1"
"SRSF2"	0	0.69308992579479	0.865	0.558	0	"Cycling B"	"SRSF2"
"RAD51AP1"	0	0.690880698390098	0.389	0.015	0	"Cycling B"	"RAD51AP1"
"CDCA2"	0	0.689666293882854	0.393	0.036	0	"Cycling B"	"CDCA2"
"AURKA"	0	0.682042710762691	0.297	0.016	0	"Cycling B"	"AURKA"
"KIF20B"	0	0.681231218227585	0.489	0.115	0	"Cycling B"	"KIF20B"
"CDCA4"	0	0.681191718600284	0.448	0.064	0	"Cycling B"	"CDCA4"
"HNRNPF"	0	0.678664573330512	0.841	0.518	0	"Cycling B"	"HNRNPF"
"HIST1H2AL"	0	0.675951274494658	0.254	0.02	0	"Cycling B"	"HIST1H2AL"
"PHF19"	0	0.675282728061329	0.499	0.098	0	"Cycling B"	"PHF19"
"CDC25B"	0	0.674151041253214	0.401	0.067	0	"Cycling B"	"CDC25B"
"KIF2C"	0	0.671662384612094	0.346	0.005	0	"Cycling B"	"KIF2C"
"RNASEH2A"	0	0.668599045110103	0.451	0.071	0	"Cycling B"	"RNASEH2A"
"SGO1"	0	0.66766153627751	0.428	0.053	0	"Cycling B"	"SGO1"
"CDK4"	0	0.667320540783246	0.56	0.183	0	"Cycling B"	"CDK4"
"SSRP1"	0	0.666505222853396	0.624	0.223	0	"Cycling B"	"SSRP1"
"TROAP"	0	0.664778367921163	0.367	0.034	0	"Cycling B"	"TROAP"
"CENPH"	0	0.660975821897039	0.479	0.088	0	"Cycling B"	"CENPH"
"BANF1"	0	0.656161996085036	0.852	0.497	0	"Cycling B"	"BANF1"
"TFDP1"	0	0.655078646423442	0.531	0.164	0	"Cycling B"	"TFDP1"
"YWHAH"	0	0.653833314196196	0.563	0.212	0	"Cycling B"	"YWHAH"
"MAD2L2"	0	0.651424148539557	0.539	0.13	0	"Cycling B"	"MAD2L2"
"PRDX3"	0	0.650964939780093	0.782	0.414	0	"Cycling B"	"PRDX3"
"KIF11"	0	0.650387231721324	0.379	0.025	0	"Cycling B"	"KIF11"
"CENPX"	0	0.649246118246236	0.568	0.177	0	"Cycling B"	"CENPX"
"ORC6"	0	0.646973673216295	0.419	0.043	0	"Cycling B"	"ORC6"
"CENPN"	0	0.645954155938273	0.432	0.059	0	"Cycling B"	"CENPN"
"CRIP1"	0	0.645056403849838	0.569	0.187	0	"Cycling B"	"CRIP1"
"DEPDC1"	0	0.644480193611274	0.304	0.01	0	"Cycling B"	"DEPDC1"
"HPRT1"	0	0.640441912078833	0.538	0.145	0	"Cycling B"	"HPRT1"
"PRC1"	0	0.634006814578115	0.365	0.032	0	"Cycling B"	"PRC1"
"KIF23"	0	0.633403808829427	0.303	0.007	0	"Cycling B"	"KIF23"
"HJURP"	0	0.633134481180863	0.308	0.005	0	"Cycling B"	"HJURP"
"NAA38"	0	0.632088737155662	0.808	0.455	0	"Cycling B"	"NAA38"
"CKAP2L"	0	0.629018275168111	0.319	0.009	0	"Cycling B"	"CKAP2L"
"CDC45"	0	0.625596642318162	0.334	0.01	0	"Cycling B"	"CDC45"
"RACGAP1"	0	0.614363036132954	0.336	0.022	0	"Cycling B"	"RACGAP1"
"MXD3"	0	0.613229027720977	0.315	0.032	0	"Cycling B"	"MXD3"
"UNG"	0	0.611754174539504	0.304	0.044	0	"Cycling B"	"UNG"
"DBI"	0	0.609276114679586	0.948	0.749	0	"Cycling B"	"DBI"
"NSD2"	0	0.607333888735335	0.449	0.082	0	"Cycling B"	"NSD2"
"CKAP2"	0	0.605519403987099	0.476	0.142	0	"Cycling B"	"CKAP2"
"NDC1"	0	0.604286289576938	0.471	0.106	0	"Cycling B"	"NDC1"
"NDUFA6"	0	0.603813351553865	0.645	0.26	0	"Cycling B"	"NDUFA6"
"CDC6"	0	0.601715446616723	0.309	0.007	0	"Cycling B"	"CDC6"
"RNASEH2C"	0	0.597367913974788	0.705	0.306	0	"Cycling B"	"RNASEH2C"
"WDR76"	0	0.596397368624442	0.459	0.103	0	"Cycling B"	"WDR76"
"RFC2"	0	0.593558639301062	0.484	0.126	0	"Cycling B"	"RFC2"
"PBK"	0	0.593120728843703	0.331	0.009	0	"Cycling B"	"PBK"
"ANXA5"	0	0.588341260736599	0.549	0.174	0	"Cycling B"	"ANXA5"
"RFC3"	0	0.585068618253469	0.398	0.05	0	"Cycling B"	"RFC3"
"SUMO2"	0	0.583672047574921	0.964	0.812	0	"Cycling B"	"SUMO2"
"CKAP5"	0	0.581070837619813	0.393	0.078	0	"Cycling B"	"CKAP5"
"POLR3K"	0	0.580375768432348	0.574	0.196	0	"Cycling B"	"POLR3K"
"CHEK1"	0	0.578743393360344	0.365	0.028	0	"Cycling B"	"CHEK1"
"ATAD5"	0	0.5769341638086	0.356	0.031	0	"Cycling B"	"ATAD5"
"ESCO2"	0	0.570431675400746	0.309	0.005	0	"Cycling B"	"ESCO2"
"KNL1"	0	0.567701005915137	0.45	0.108	0	"Cycling B"	"KNL1"
"SHCBP1"	0	0.565846208664245	0.453	0.081	0	"Cycling B"	"SHCBP1"
"DEPDC1B"	0	0.561598786867123	0.31	0.013	0	"Cycling B"	"DEPDC1B"
"EZH2"	0	0.560018436003795	0.549	0.174	0	"Cycling B"	"EZH2"
"SNRNP25"	0	0.557408531889686	0.655	0.275	0	"Cycling B"	"SNRNP25"
"HIST1H2BH"	0	0.554391270258814	0.237	0.013	0	"Cycling B"	"HIST1H2BH"
"NCAPG2"	0	0.551673177478954	0.318	0.015	0	"Cycling B"	"NCAPG2"
"BLOC1S1"	0	0.549784990262449	0.608	0.216	0	"Cycling B"	"BLOC1S1"
"FAM111B"	0	0.549258335277433	0.322	0.038	0	"Cycling B"	"FAM111B"
"BRCA2"	0	0.545545850963918	0.354	0.032	0	"Cycling B"	"BRCA2"
"RAD51C"	0	0.537999184127952	0.499	0.131	0	"Cycling B"	"RAD51C"
"SPAG5"	0	0.534337549421157	0.314	0.015	0	"Cycling B"	"SPAG5"
"CENPA"	0	0.529804973688751	0.241	0.008	0	"Cycling B"	"CENPA"
"ARL6IP6"	0	0.528695698062134	0.48	0.137	0	"Cycling B"	"ARL6IP6"
"FBXO5"	0	0.526574730044173	0.31	0.023	0	"Cycling B"	"FBXO5"
"CHCHD2"	0	0.525582685941746	0.976	0.855	0	"Cycling B"	"CHCHD2"
"VRK1"	0	0.522641312845063	0.471	0.112	0	"Cycling B"	"VRK1"
"TUBG1"	0	0.521027426223715	0.405	0.063	0	"Cycling B"	"TUBG1"
"TPGS2"	0	0.519050347046103	0.551	0.186	0	"Cycling B"	"TPGS2"
"CCDC34"	0	0.514003048654455	0.336	0.027	0	"Cycling B"	"CCDC34"
"C21orf58"	0	0.51324047130462	0.294	0.01	0	"Cycling B"	"C21orf58"
"PHGDH"	0	0.509959412841133	0.4	0.085	0	"Cycling B"	"PHGDH"
"HAUS8"	0	0.509399636085898	0.37	0.057	0	"Cycling B"	"HAUS8"
"BUB1B"	0	0.50933260692885	0.31	0.03	0	"Cycling B"	"BUB1B"
"TCF19"	0	0.508155807891294	0.303	0.01	0	"Cycling B"	"TCF19"
"LRR1"	0	0.505516514127644	0.398	0.06	0	"Cycling B"	"LRR1"
"RPLP0"	0	0.491714686729685	0.998	0.989	0	"Cycling B"	"RPLP0"
"ANLN"	0	0.489568258922774	0.269	0.008	0	"Cycling B"	"ANLN"
"TIMELESS"	0	0.48790171823527	0.388	0.072	0	"Cycling B"	"TIMELESS"
"SUZ12"	0	0.487164259030364	0.511	0.161	0	"Cycling B"	"SUZ12"
"OIP5"	0	0.485769151528953	0.312	0.015	0	"Cycling B"	"OIP5"
"HAUS4"	0	0.484164756301258	0.442	0.114	0	"Cycling B"	"HAUS4"
"EXOSC8"	0	0.483532899789246	0.452	0.112	0	"Cycling B"	"EXOSC8"
"MELK"	0	0.483397645288841	0.289	0.004	0	"Cycling B"	"MELK"
"PXMP2"	0	0.480292587944413	0.348	0.047	0	"Cycling B"	"PXMP2"
"CHAF1A"	0	0.476944920988374	0.31	0.032	0	"Cycling B"	"CHAF1A"
"RFC5"	0	0.462903268103244	0.307	0.027	0	"Cycling B"	"RFC5"
"ARHGAP11A"	0	0.455692341681255	0.315	0.042	0	"Cycling B"	"ARHGAP11A"
"FOXM1"	0	0.453925270767569	0.272	0.005	0	"Cycling B"	"FOXM1"
"CTNNAL1"	0	0.45259244491139	0.34	0.05	0	"Cycling B"	"CTNNAL1"
"NEIL3"	0	0.450054516749456	0.251	0.016	0	"Cycling B"	"NEIL3"
"MAZ"	0	0.446527541302144	0.41	0.099	0	"Cycling B"	"MAZ"
"DIAPH3"	0	0.43995844517069	0.251	0.006	0	"Cycling B"	"DIAPH3"
"POP7"	0	0.43486672645953	0.426	0.109	0	"Cycling B"	"POP7"
