"Cycling B"	"LZ GC"	"DZ GC"	"GC"	"prePB"	"FCRL2/3high GC"
"SSU72"	0.922070932413434	1.09513915504416	1.0247437448449	0.963969376183295	1.20155322786993	1.02449890923295
"AL645728.1"	0.0388171509949137	0.0394570952627739	0.0496435926168501	0.0554756954626301	0.0264935900564755	0.0268594191649901
"FNDC10"	0.000841083274899745	0	0	0.00238918736962829	0	0
"AL691432.2"	0.0184036926136465	0.0219516339120648	0.0304245875244977	0.0273724840187242	0.0356993181201465	0.0442956335821671
"MIB2"	0.158165455757005	0.202505927353307	0.188467089437126	0.233504008775065	0.252022531459897	0.402863379815399
"MMP23B"	0.00194890048978345	0.00257302899546375	0.000701560361446704	0.00167122982741518	0.0147101687597321	0.00879739597079265
"CDK11B"	0.401841594334702	0.352469712013979	0.351952599349884	0.315589217016774	0.237475424635044	0.297788229997915
"FO704657.1"	0.00864492174810423	0.00862194542015937	0.0299409121531286	0.0117751888428731	0	0
"SLC35E2B"	0.0991503535999917	0.101544466359506	0.140815575474155	0.156691520701103	0.0899796780712198	0.29055027381919
"CDK11A"	0.294186422258307	0.421464082474849	0.304486572876808	0.347825606966655	0.349421556668532	0.119868811841975
"SLC35E2"	0.0725859573701571	0.0908200916734221	0.119466912235866	0.132569064198939	0.121811867642331	0.112987145740966
"NADK"	0.386961216412236	0.490226245316362	0.367554161758259	0.371590524951546	0.70952821500884	0.466426525024443
"GNB1"	0.874478905711178	0.800179258001492	0.781017735405222	0.689806634097051	0.673260927636338	0.617079092832805
"AL109917.1"	0.00725237877949209	0.0139793472080405	0.0152383995909904	0.00894626113765368	0	0
"CALML6"	0.000260880615362842	0.00274013066587093	0.00234940435551375	0.00092702006711069	0	0
"TMEM52"	0.00379185316709308	0	0.00173550161104248	0.000712210840618182	0	0
"AL391845.1"	0.000467402333392141	0	0.0027266552837412	0.00204128638716508	0	0
"PRKCZ"	0.0469955722326585	0.0471729711186895	0.0574375177359615	0.0680908718693561	0.104987322633416	0.128828824516915
"AL590822.2"	0.00143855303514995	0.00418760469011725	0.00141025523504371	0.00156085562052933	0.0135588072588431	0
"PRKCZ-AS1"	0.00105748587513595	0	0.000413765498155661	0	0	0
"FAAP20"	0.69465716953166	0.858469441990969	0.629746604035756	0.702876847828021	0.982816868436319	0.859644116288077
"SKI"	0.0324729173175848	0.0393248985403293	0.0211945273442821	0.0241600527501633	0.0555799809039304	0.0131225228652778
"MORN1"	0.0623577277761606	0.0252804064651185	0.0839226830115439	0.0504208417522156	0.0155762340551875	0.0295351172544155
"RER1"	0.876894463219084	0.832116381154437	0.721909717181128	0.866454373615504	0.924346354546714	0.649536619904801
"PEX10"	0.110147593846511	0.19928131440746	0.183489220767598	0.13203569475676	0.15515486171614	0.169585960011509
"PLCH2"	0.00831055244258626	0.00736816787649574	0.0110125311571396	0.0240823740693982	0.0463586030064427	0.0761872603409499
"PANK4"	0.114887545499289	0.0881698152451214	0.0790888994602474	0.119247628164218	0.121896951021845	0.142888805479054
"AL139246.5"	0.0405927657058088	0.0846079686285959	0.0798877703831632	0.0835824841891137	0.111818409807488	0.101760250843428
"TNFRSF14-AS1"	0.0373796966190923	0.0698161102049377	0.0669384631390706	0.0491044688299905	0.0613429720446821	0.165118894902466
"TNFRSF14"	0.335511072150242	1.06260657203604	0.450228253371429	0.948841120775988	0.636295514756615	1.02528901064961
"AL139246.3"	0.0121020383027823	0.0220626685800118	0.0377662897176257	0.0209416138266227	0.0164212915181566	0
"FAM213B"	0.0321313527556727	0.0372943197557588	0.0350250975866927	0.0320254248718342	0.00447872159370829	0.0188321200177574
"MMEL1"	0.00057263027886002	0.00163594284212023	0.00104146520824045	0	0	0
"TTC34"	0.0013191753637231	0.00512051991304671	0.00705492572164373	0.00515376734897118	0	0.00902989980423177
"ARHGEF16"	0.000545835959048493	0	0	0	0	0
"MEGF6"	0.00168960216311926	0	0.000460596902264746	0.0024381978633682	0	0.0091666758333425
"AL513320.1"	0.00195496616691149	0	0.00585866097557204	0.000362687599253995	0.0428150006636325	0
"TPRG1L"	0.0451149204080831	0.0333639556723669	0.0426212763914293	0.064428844313506	0.0665092410119113	0.0347362014716941
"WRAP73"	0.239261213286572	0.355677474676083	0.262192254093536	0.264035362774378	0.487752918323861	0.250009968529304
"TP73"	0.0580862426136301	0.0344045127467559	0.0110814172249842	0.0104251558109038	0.0416691720298421	0.0690103343524013
"AL136528.1"	0.0152268495745633	0.00479111538109811	0.0312404833331384	0.0250987434329437	0.0864317173039527	0
"SMIM1"	0.021808454187328	0.0135373632820616	0.0311405988686614	0.0242347422994591	0.0296153725348296	0.0989859423993994
"LRRC47"	0.27098912904287	0.31917337716001	0.373636150369132	0.305436657809718	0.298718372046597	0.261726679058586
"AL365330.1"	0.000124840773412614	0	0	0	0	0.0108168916580132
"CEP104"	0.150860575023759	0.149587022500879	0.218040269195485	0.172324994290056	0.190006993564766	0.188957062941221
"DFFB"	0.0337665728218378	0.0423280899045168	0.0355148318975689	0.0439696560625189	0.0238789109387012	0.00544118191177015
"C1orf174"	0.245022276637812	0.31297924943997	0.154287454871904	0.199327778931922	0.316928379774611	0.278348423342254
"LINC01134"	0.00884833210294851	0	0.0317369536611265	0.0223554851958412	0.052808937176264	0
"AL805961.1"	0.000172589676862592	0	0	0.00020956780559015	0.0197839200254817	0
"AL805961.2"	0.00672686859365625	0.00183767622166418	0.0256101752350532	0.0114963071939476	0.0269192101610325	0
"NPHP4"	0.0271738208379844	0.0228534637633092	0.00867477853613429	0.0106342963806266	0.060499144246345	0.0146437755167788
"KCNAB2"	0.354446259921063	0.557086895749807	0.367305291248621	0.417575650425173	0.385716030724069	0.742254736363709
"RPL22"	21.5843883957983	21.1611329902314	23.9196547801249	21.4730916296429	18.6627272412092	23.0716543465969
"RNF207"	0.000797001521016457	0.0106588728988031	0	0	0	0
"ICMT"	0.263853115285286	0.16248953810062	0.0897711227878872	0.0700672207358982	0.0761795639763837	0.0161765549659838
"LINC00337"	0.00695632016783295	0	0.00161035673492847	0.00141845239184407	0	0
"GPR153"	0.00111139103487189	0	0	0	0	0
"ACOT7"	0.39668539584196	0.0996294063441221	0.0683796060903325	0.041291536959837	0.0697910559624716	0.0514759631262517
"AL031848.2"	0.0111777099721874	0.00833249886687462	0.0109113783034769	0.00439257611136505	0	0
"ESPN"	0.000576110016772839	0	0	0.00271335238189273	0	0
"TNFRSF25"	0.0179087247611391	0.0132412136413109	0.0121172944919958	0.00776360429855574	0.0185358529736142	0
"PLEKHG5"	0.00121430361152643	0	0.000410904788511825	0.000444630092500574	0	0
"NOL9"	0.216045596460708	0.221786354402991	0.492444942678507	0.186038954840916	0.0766723628364261	0.281790628354069
"TAS1R1"	0.00210522015852463	0	0.0223558058710159	0.00168711876388182	0	0.00605813874591681
"ZBTB48"	0.125590219991883	0.211132426628422	0.375208841214295	0.195631896562278	0.105689939068307	0.307844843601321
"KLHL21"	0.0162248618762402	0.0106278906147542	0.0585964634401394	0.0122356841276759	0	0
"PHF13"	0.0561240935755997	0.0283969505782271	0.0355578551329055	0.0190169886763026	0	0.0330768484522836
"THAP3"	0.178159064898468	0.138072300478321	0.586113067772301	0.183240010855093	0.116183305549862	0.160290347375735
"DNAJC11"	0.164144840088035	0.235778615384039	0.154225822397577	0.165023091910825	0.107084024555784	0.14416948554491
"AL591163.1"	0.000220999977078844	0.00394313059333075	0.00543663170497787	0.000381760272949433	0	0
"CAMTA1-DT"	0.00448239413608594	0.00667134359894881	0.012362014689672	0.00808008505746301	0	0.0107353730542136
"CAMTA1"	1.08691153841884	0.817296254065646	0.887819079308555	0.757068894165898	0.952177206024449	0.510312078600426
"VAMP3"	0.123013227564904	0.117678333021346	0.148294262606507	0.154248979262143	0.158985823094635	0.229366848185997
"PER3"	0.012639515312535	0.00564524861785104	0.0109621462108302	0.00635676456399439	0	0
